blind_item_id,visible_state,current_user_text,candidate_move,atomicity,state_appropriateness,boundary_compatibility,executability,leakage,redundancy_near_duplicate,rationale,reviewer_id
rs_semblind_7b6056ad1e44c3af8c606d95,"supporter: I can sense how stressed you are about the safety of your job. This pandemic has caused so much stress and very much anxiety on everyone, so just know you are not alone. I'm not sure on the work you do, but you putting your health at risk everyday to make a living for you and your family makes you an amazing person. Just try and remember that your health is very much more important then your job and just make sure you are trying everything possible to keep yourself safe out there.
seeker: Thanks for the positive vibes, but I doubt things will get better.
supporter: Of course! I also am afraid that this pandemic is going to get worse before it gets any better and that is just my opinion. I am scared for everyone out here anymore and its not just people getting sick and ill, but people like you who could be in jeopardy of loosing their job or their source of income. That's is something that would be on anyones mind, more yours then mine due to you actually working in the public.
seeker: There is a lock down in my area, I fear it will only get worse.
supporter: We thankfully have not got on lockdown just yet, but I know it will be happening soon. We live in a very small town and it has got bad here that either we know someone who has it, or someone in the family has it. It seemed like it just happened over night that it just spread so fast here that everyone is in a panic mode again. What type of things do you do while you are on lockdown?
seeker: Think about the bad things that will happen if I lost my job. I have been only thinking about the bad..",Think about the bad things that will happen if I lost my job. I have been only thinking about the bad..,suggest using the time at home to learn new things,,,,,,,,
rs_semblind_a6312020f251f263625c49d5,"seeker: Yes again. I have to do something to sleep well.
seeker: My schedule starts in the evening extends through the night. But I can take sleep as much I want. But not throughout the night.
supporter: When I feel restless and want to sleep well, I take warm shower before sleeping and it helps me. At day time try to keep your bedroom dark so you can sleep for longer.
supporter: Enough sleep is very important for good health.
seeker: Warm shower helps you sleep. I learn to do that. I was thinking a bath will keep me fresh and will reduce sleep. Thanks for your advice. Also I am making arrangements to keep my room full dark, no small light at all.
seeker: Thanks again for your advice.","Warm shower helps you sleep. I learn to do that. I was thinking a bath will keep me fresh and will reduce sleep. Thanks for your advice. Also I am making arrangements to keep my room full dark, no small light at all.
Thanks again for your advice.",inform the user that getting good sleep is critical,,,,,,,,
rs_semblind_598bbba72c16bf7f18e8d8f2,"supporter: yes, things will only get better from here
supporter: i hope with the government's plan to get vaccines sooner, will let states to administer them soon . and then hopefully you will be able to meet your friends in person
seeker: I truly hope so!
seeker: Thanks for talking with me
supporter: Sure no problem. Hopefully things will be much better for you soon.
seeker: Thanks. Bye!",Thanks. Bye!,provide information about the situation in their country,,,,,,,,
rs_semblind_cacf674be3478256161d3790,"supporter: He must still care because he is talking with you, but he is also involved with his x
seeker: His family member was a friend of mine.
seeker: I think he does but it is more convenient to be with his ex.
supporter: Has the COVID interfered with you
supporter: There is another way to look at this
seeker: Yes it has. We are in different countries and his ex is in the same country as him.",Yes it has. We are in different countries and his ex is in the same country as him.,imply shared social connections and suggest possible reasons for others' silence,,,,,,,,
rs_semblind_e645f3ff42a1e77972922e35,"supporter: I know a lot of people who are feeling this way. It is a difficult time
seeker: I’m trying to make the best of it but having a hard time.
supporter: Why do you think you are struggling?
seeker: I’m feeling isolated and missing my family and friends.
supporter: It sounds like you are feeling lonely. Is that right?
seeker: Yes. Video calls are not the same.",Yes. Video calls are not the same.,acknowledge the user's loneliness and emotional struggle,,,,,,,,
rs_semblind_79469e274b3251d84562338e,"seeker: Hi, how are you?","Hi, how are you?",greet the user,,,,,,,,
rs_semblind_c1f6d066b3bc517ab5d63222,seeker: hello,hello,greet the user,,,,,,,,
rs_semblind_510790c5f5f3cc404eac32c6,"supporter: May I aks what your major is
seeker: Yes, I am in a full schedule. The class I might fail is mandatory for my Computer Science degree. That is why I am so concerned.
supporter: Is it online in person
seeker: That class in particular is online.
supporter: Being online makes it harder.
seeker: You think so? I kept telling myself that they were supposed to be easier, since its on the computer.","You think so? I kept telling myself that they were supposed to be easier, since its on the computer.",acknowledge that online learning challenges are common among people,,,,,,,,
rs_semblind_f9cead33bb60235dcbf65a13,"seeker: Yeah I could maybe get some ideas from friends too.
supporter: And you never know, you might get a creative burst when you get back and rattle it off in one.
seeker: Alcohol can make people creative. That's for sure.
supporter: Oh yeah. Follow it up with a smoke and you'll be a regular Shakespeare. He was probably half cut all the time too.
seeker: YEah or had some good mushrooms. I've been wanting to try shrooms just don
seeker: 't have a good source","YEah or had some good mushrooms. I've been wanting to try shrooms just don
't have a good source",paraphrase the user's struggle with drinking to confirm understanding,,,,,,,,
rs_semblind_683684fe2fad8a5d9d5f364a,"seeker: Who is this they that your speaking about?
seeker: I don't mean to be crass either but I have never been jobless or homeless either. So I'm desperate here and don't know what to do?
supporter: Your landlord. I worked out a way with payments when i was furloughed from my job. And yes i was actually homeless many years ago so i do know what it feels like to miss out on meals for a days at a time. It seems you should look up evictions during Covid. They are not allowed to throw you on the street as long as the pandemic is going on.
seeker: How did you eat and where did you sleep when you were homeless? How long did it take to end your situation?
seeker: If you were homeless what did you say to your landlord that they still put you out?
seeker: Where did you wash up or brush your teeth?","How did you eat and where did you sleep when you were homeless? How long did it take to end your situation?
If you were homeless what did you say to your landlord that they still put you out?
Where did you wash up or brush your teeth?",suggest the user look into funds for hotel accommodation,,,,,,,,
rs_semblind_b560265dc1ec8c62bdde90c5,"seeker: Can you elaborate on extensions please ? Not sure what it is ?
supporter: Also there are people willing to help sometimes in local places. An extension would happen when the institution you owe gives you more time to pay them.
supporter: I would try going to the town hall.
seeker: Ahh ok . I will give them a call and check. What does going to town hall mean ?
supporter: Going to the town hall means phsyically going to your local town hall asking for help for assistance. There should within have programs you can apply for.
seeker: ok understood. Have you had any depression issues during lockdown ?",ok understood. Have you had any depression issues during lockdown ?,acknowledge the user's difficult situation and validate its harshness,,,,,,,,
rs_semblind_8ef9dcabf23a9830850a6580,"supporter: Hi there, how are you doing today?
seeker: I am okay, I am very worried about my friend. I believe she is abusing prescription drugs.
supporter: Oh no, why do you think she is abusing them?
seeker: I don't think it, I guess I actually know she is. She use to have a heroin problem and went on methadone. She has since started taking anxiety medicine in order to get high.
supporter: Thats a tough spot to be in, ive actually been both sides of that coin.
seeker: I think I know what I need to do, It is just hard.","I think I know what I need to do, It is just hard.",restate the user's conflicting feelings about their friend's recovery progress,,,,,,,,
rs_semblind_dc7b2f440990d754adaf16a5,"supporter: What did you do for fun before you met her?
seeker: sighting girls
supporter: I loved doing that too! Have you thought about going out and doing that with your friends now?
seeker: yes. after having a chat with you i feel some goodness in me
supporter: Good! From talking to you I can tell that you have a lot of goodness in you!
seeker: thank you so much",thank you so much,ask if there is any other way to support the user,,,,,,,,
